x,y,error
0.030303,0.030303,6.82727e-06
0.0606061,0.030303,1.35927e-05
0.0909091,0.030303,2.0235e-05
0.121212,0.030303,2.66941e-05
0.151515,0.030303,3.29115e-05
0.181818,0.030303,3.88308e-05
0.212121,0.030303,4.43984e-05
0.242424,0.030303,4.9564e-05
0.272727,0.030303,5.42807e-05
0.30303,0.030303,5.85058e-05
0.333333,0.030303,6.22011e-05
0.363636,0.030303,6.5333e-05
0.393939,0.030303,6.78734e-05
0.424242,0.030303,6.9799e-05
0.454545,0.030303,7.10925e-05
0.484848,0.030303,7.17422e-05
0.515152,0.030303,7.17422e-05
0.545455,0.030303,7.10925e-05
0.575758,0.030303,6.9799e-05
0.606061,0.030303,6.78734e-05
0.636364,0.030303,6.5333e-05
0.666667,0.030303,6.22011e-05
0.69697,0.030303,5.85058e-05
0.727273,0.030303,5.42807e-05
0.757576,0.030303,4.9564e-05
0.787879,0.030303,4.43984e-05
0.818182,0.030303,3.88308e-05
0.848485,0.030303,3.29115e-05
0.878788,0.030303,2.66941e-05
0.909091,0.030303,2.0235e-05
0.939394,0.030303,1.35927e-05
0.969697,0.030303,6.82727e-06
0.030303,0.0606061,1.35927e-05
0.0606061,0.0606061,2.70623e-05
0.0909091,0.0606061,4.02868e-05
0.121212,0.0606061,5.31465e-05
0.151515,0.0606061,6.55249e-05
0.181818,0.0606061,7.73099e-05
0.212121,0.0606061,8.83947e-05
0.242424,0.0606061,9.86791e-05
0.272727,0.0606061,0.00010807
0.30303,0.0606061,0.000116482
0.333333,0.0606061,0.000123839
0.363636,0.0606061,0.000130074
0.393939,0.0606061,0.000135132
0.424242,0.0606061,0.000138966
0.454545,0.0606061,0.000141541
0.484848,0.0606061,0.000142835
0.515152,0.0606061,0.000142835
0.545455,0.0606061,0.000141541
0.575758,0.0606061,0.000138966
0.606061,0.0606061,0.000135132
0.636364,0.0606061,0.000130074
0.666667,0.0606061,0.000123839
0.69697,0.0606061,0.000116482
0.727273,0.0606061,0.00010807
0.757576,0.0606061,9.86791e-05
0.787879,0.0606061,8.83947e-05
0.818182,0.0606061,7.73099e-05
0.848485,0.0606061,6.55249e-05
0.878788,0.0606061,5.31465e-05
0.909091,0.0606061,4.02868e-05
0.939394,0.0606061,2.70623e-05
0.969697,0.0606061,1.35927e-05
0.030303,0.0909091,2.0235e-05
0.0606061,0.0909091,4.02868e-05
0.0909091,0.0909091,5.99738e-05
0.121212,0.0909091,7.91176e-05
0.151515,0.0909091,9.75449e-05
0.181818,0.0909091,0.000115089
0.212121,0.0909091,0.000131591
0.242424,0.0909091,0.000146901
0.272727,0.0909091,0.00016088
0.30303,0.0909091,0.000173403
0.333333,0.0909091,0.000184355
0.363636,0.0909091,0.000193638
0.393939,0.0909091,0.000201167
0.424242,0.0909091,0.000206874
0.454545,0.0909091,0.000210708
0.484848,0.0909091,0.000212634
0.515152,0.0909091,0.000212634
0.545455,0.0909091,0.000210708
0.575758,0.0909091,0.000206874
0.606061,0.0909091,0.000201167
0.636364,0.0909091,0.000193638
0.666667,0.0909091,0.000184355
0.69697,0.0909091,0.000173403
0.727273,0.0909091,0.00016088
0.757576,0.0909091,0.000146901
0.787879,0.0909091,0.000131591
0.818182,0.0909091,0.000115089
0.848485,0.0909091,9.75449e-05
0.878788,0.0909091,7.91176e-05
0.909091,0.0909091,5.99738e-05
0.939394,0.0909091,4.02868e-05
0.969697,0.0909091,2.0235e-05
0.030303,0.121212,2.66941e-05
0.0606061,0.121212,5.31465e-05
0.0909091,0.121212,7.91176e-05
0.121212,0.121212,0.000104372
0.151515,0.121212,0.000128682
0.181818,0.121212,0.000151826
0.212121,0.121212,0.000173595
0.242424,0.121212,0.000193792
0.272727,0.121212,0.000212234
0.30303,0.121212,0.000228753
0.333333,0.121212,0.000243202
0.363636,0.121212,0.000255448
0.393939,0.121212,0.00026538
0.424242,0.121212,0.000272909
0.454545,0.121212,0.000277967
0.484848,0.121212,0.000280507
0.515152,0.121212,0.000280507
0.545455,0.121212,0.000277967
0.575758,0.121212,0.000272909
0.606061,0.121212,0.00026538
0.636364,0.121212,0.000255448
0.666667,0.121212,0.000243202
0.69697,0.121212,0.000228753
0.727273,0.121212,0.000212234
0.757576,0.121212,0.000193792
0.787879,0.121212,0.000173595
0.818182,0.121212,0.000151826
0.848485,0.121212,0.000128682
0.878788,0.121212,0.000104372
0.909091,0.121212,7.91176e-05
0.939394,0.121212,5.31465e-05
0.969697,0.121212,2.66941e-05
0.030303,0.151515,3.29115e-05
0.0606061,0.151515,6.55249e-05
0.0909091,0.151515,9.75449e-05
0.121212,0.151515,0.000128682
0.151515,0.151515,0.000158653
0.181818,0.151515,0.000187187
0.212121,0.151515,0.000214027
0.242424,0.151515,0.000238928
0.272727,0.151515,0.000261665
0.30303,0.151515,0.000282033
0.333333,0.151515,0.000299846
0.363636,0.151515,0.000314944
0.393939,0.151515,0.00032719
0.424242,0.151515,0.000336473
0.454545,0.151515,0.000342708
0.484848,0.151515,0.00034584
0.515152,0.151515,0.00034584
0.545455,0.151515,0.000342708
0.575758,0.151515,0.000336473
0.606061,0.151515,0.00032719
0.636364,0.151515,0.000314944
0.666667,0.151515,0.000299846
0.69697,0.151515,0.000282033
0.727273,0.151515,0.000261665
0.757576,0.151515,0.000238928
0.787879,0.151515,0.000214027
0.818182,0.151515,0.000187187
0.848485,0.151515,0.000158653
0.878788,0.151515,0.000128682
0.909091,0.151515,9.75449e-05
0.939394,0.151515,6.55249e-05
0.969697,0.151515,3.29115e-05
0.030303,0.181818,3.88308e-05
0.0606061,0.181818,7.73099e-05
0.0909091,0.181818,0.000115089
0.121212,0.181818,0.000151826
0.151515,0.181818,0.000187187
0.181818,0.181818,0.000220854
0.212121,0.181818,0.00025252
0.242424,0.181818,0.0002819
0.272727,0.181818,0.000308727
0.30303,0.181818,0.000332758
0.333333,0.181818,0.000353775
0.363636,0.181818,0.000371588
0.393939,0.181818,0.000386037
0.424242,0.181818,0.000396989
0.454545,0.181818,0.000404346
0.484848,0.181818,0.000408041
0.515152,0.181818,0.000408041
0.545455,0.181818,0.000404346
0.575758,0.181818,0.000396989
0.606061,0.181818,0.000386037
0.636364,0.181818,0.000371588
0.666667,0.181818,0.000353775
0.69697,0.181818,0.000332758
0.727273,0.181818,0.000308727
0.757576,0.181818,0.0002819
0.787879,0.181818,0.00025252
0.818182,0.181818,0.000220854
0.848485,0.181818,0.000187187
0.878788,0.181818,0.000151826
0.909091,0.181818,0.000115089
0.939394,0.181818,7.73099e-05
0.969697,0.181818,3.88308e-05
0.030303,0.212121,4.43984e-05
0.0606061,0.212121,8.83947e-05
0.0909091,0.212121,0.000131591
0.121212,0.212121,0.000173595
0.151515,0.212121,0.000214027
0.181818,0.212121,0.00025252
0.212121,0.212121,0.000288727
0.242424,0.212121,0.000322319
0.272727,0.212121,0.000352993
0.30303,0.212121,0.000380469
0.333333,0.212121,0.0004045
0.363636,0.212121,0.000424867
0.393939,0.212121,0.000441387
0.424242,0.212121,0.00045391
0.454545,0.212121,0.000462322
0.484848,0.212121,0.000466547
0.515152,0.212121,0.000466547
0.545455,0.212121,0.000462322
0.575758,0.212121,0.00045391
0.606061,0.212121,0.000441387
0.636364,0.212121,0.000424867
0.666667,0.212121,0.0004045
0.69697,0.212121,0.000380469
0.727273,0.212121,0.000352993
0.757576,0.212121,0.000322319
0.787879,0.212121,0.000288727
0.818182,0.212121,0.00025252
0.848485,0.212121,0.000214027
0.878788,0.212121,0.000173595
0.909091,0.212121,0.000131591
0.939394,0.212121,8.83947e-05
0.969697,0.212121,4.43984e-05
0.030303,0.242424,4.9564e-05
0.0606061,0.242424,9.86791e-05
0.0909091,0.242424,0.000146901
0.121212,0.242424,0.000193792
0.151515,0.242424,0.000238928
0.181818,0.242424,0.0002819
0.212121,0.242424,0.000322319
0.242424,0.242424,0.00035982
0.272727,0.242424,0.000394062
0.30303,0.242424,0.000424735
0.333333,0.242424,0.000451561
0.363636,0.242424,0.000474299
0.393939,0.242424,0.000492741
0.424242,0.242424,0.00050672
0.454545,0.242424,0.000516111
0.484848,0.242424,0.000520828
0.515152,0.242424,0.000520828
0.545455,0.242424,0.000516111
0.575758,0.242424,0.00050672
0.606061,0.242424,0.000492741
0.636364,0.242424,0.000474299
0.666667,0.242424,0.000451561
0.69697,0.242424,0.000424735
0.727273,0.242424,0.000394062
0.757576,0.242424,0.00035982
0.787879,0.242424,0.000322319
0.818182,0.242424,0.0002819
0.848485,0.242424,0.000238928
0.878788,0.242424,0.000193792
0.909091,0.242424,0.000146901
0.939394,0.242424,9.86791e-05
0.969697,0.242424,4.9564e-05
0.030303,0.272727,5.42807e-05
0.0606061,0.272727,0.00010807
0.0909091,0.272727,0.00016088
0.121212,0.272727,0.000212234
0.151515,0.272727,0.000261665
0.181818,0.272727,0.000308727
0.212121,0.272727,0.000352993
0.242424,0.272727,0.000394062
0.272727,0.272727,0.000431562
0.30303,0.272727,0.000465154
0.333333,0.272727,0.000494534
0.363636,0.272727,0.000519435
0.393939,0.272727,0.000539632
0.424242,0.272727,0.000554942
0.454545,0.272727,0.000565226
0.484848,0.272727,0.000570392
0.515152,0.272727,0.000570392
0.545455,0.272727,0.000565226
0.575758,0.272727,0.000554942
0.606061,0.272727,0.000539632
0.636364,0.272727,0.000519435
0.666667,0.272727,0.000494534
0.69697,0.272727,0.000465154
0.727273,0.272727,0.000431562
0.757576,0.272727,0.000394062
0.787879,0.272727,0.000352993
0.818182,0.272727,0.000308727
0.848485,0.272727,0.000261665
0.878788,0.272727,0.000212234
0.909091,0.272727,0.00016088
0.939394,0.272727,0.00010807
0.969697,0.272727,5.42807e-05
0.030303,0.30303,5.85058e-05
0.0606061,0.30303,0.000116482
0.0909091,0.30303,0.000173403
0.121212,0.30303,0.000228753
0.151515,0.30303,0.000282033
0.181818,0.30303,0.000332758
0.212121,0.30303,0.000380469
0.242424,0.30303,0.000424735
0.272727,0.30303,0.000465154
0.30303,0.30303,0.000501361
0.333333,0.30303,0.000533028
0.363636,0.30303,0.000559867
0.393939,0.30303,0.000581636
0.424242,0.30303,0.000598138
0.454545,0.30303,0.000609222
0.484848,0.30303,0.00061479
0.515152,0.30303,0.00061479
0.545455,0.30303,0.000609222
0.575758,0.30303,0.000598138
0.606061,0.30303,0.000581636
0.636364,0.30303,0.000559867
0.666667,0.30303,0.000533028
0.69697,0.30303,0.000501361
0.727273,0.30303,0.000465154
0.757576,0.30303,0.000424735
0.787879,0.30303,0.000380469
0.818182,0.30303,0.000332758
0.848485,0.30303,0.000282033
0.878788,0.30303,0.000228753
0.909091,0.30303,0.000173403
0.939394,0.30303,0.000116482
0.969697,0.30303,5.85058e-05
0.030303,0.333333,6.22011e-05
0.0606061,0.333333,0.000123839
0.0909091,0.333333,0.000184355
0.121212,0.333333,0.000243202
0.151515,0.333333,0.000299846
0.181818,0.333333,0.000353775
0.212121,0.333333,0.0004045
0.242424,0.333333,0.000451561
0.272727,0.333333,0.000494534
0.30303,0.333333,0.000533028
0.333333,0.333333,0.000566694
0.363636,0.333333,0.000595229
0.393939,0.333333,0.000618373
0.424242,0.333333,0.000635917
0.454545,0.333333,0.000647702
0.484848,0.333333,0.000653621
0.515152,0.333333,0.000653621
0.545455,0.333333,0.000647702
0.575758,0.333333,0.000635917
0.606061,0.333333,0.000618373
0.636364,0.333333,0.000595229
0.666667,0.333333,0.000566694
0.69697,0.333333,0.000533028
0.727273,0.333333,0.000494534
0.757576,0.333333,0.000451561
0.787879,0.333333,0.0004045
0.818182,0.333333,0.000353775
0.848485,0.333333,0.000299846
0.878788,0.333333,0.000243202
0.909091,0.333333,0.000184355
0.939394,0.333333,0.000123839
0.969697,0.333333,6.22011e-05
0.030303,0.363636,6.5333e-05
0.0606061,0.363636,0.000130074
0.0909091,0.363636,0.000193638
0.121212,0.363636,0.000255448
0.151515,0.363636,0.000314944
0.181818,0.363636,0.000371588
0.212121,0.363636,0.000424867
0.242424,0.363636,0.000474299
0.272727,0.363636,0.000519435
0.30303,0.363636,0.000559867
0.333333,0.363636,0.000595229
0.363636,0.363636,0.0006252
0.393939,0.363636,0.000649509
0.424242,0.363636,0.000667937
0.454545,0.363636,0.000680315
0.484848,0.363636,0.000686532
0.515152,0.363636,0.000686532
0.545455,0.363636,0.000680315
0.575758,0.363636,0.000667937
0.606061,0.363636,0.000649509
0.636364,0.363636,0.0006252
0.666667,0.363636,0.000595229
0.69697,0.363636,0.000559867
0.727273,0.363636,0.000519435
0.757576,0.363636,0.000474299
0.787879,0.363636,0.000424867
0.818182,0.363636,0.000371588
0.848485,0.363636,0.000314944
0.878788,0.363636,0.000255448
0.909091,0.363636,0.000193638
0.939394,0.363636,0.000130074
0.969697,0.363636,6.5333e-05
0.030303,0.393939,6.78734e-05
0.0606061,0.393939,0.000135132
0.0909091,0.393939,0.000201167
0.121212,0.393939,0.00026538
0.151515,0.393939,0.00032719
0.181818,0.393939,0.000386037
0.212121,0.393939,0.000441387
0.242424,0.393939,0.000492741
0.272727,0.393939,0.000539632
0.30303,0.393939,0.000581636
0.333333,0.393939,0.000618373
0.363636,0.393939,0.000649509
0.393939,0.393939,0.000674764
0.424242,0.393939,0.000693908
0.454545,0.393939,0.000706767
0.484848,0.393939,0.000713226
0.515152,0.393939,0.000713226
0.545455,0.393939,0.000706767
0.575758,0.393939,0.000693908
0.606061,0.393939,0.000674764
0.636364,0.393939,0.000649509
0.666667,0.393939,0.000618373
0.69697,0.393939,0.000581636
0.727273,0.393939,0.000539632
0.757576,0.393939,0.000492741
0.787879,0.393939,0.000441387
0.818182,0.393939,0.000386037
0.848485,0.393939,0.00032719
0.878788,0.393939,0.00026538
0.909091,0.393939,0.000201167
0.939394,0.393939,0.000135132
0.969697,0.393939,6.78734e-05
0.030303,0.424242,6.9799e-05
0.0606061,0.424242,0.000138966
0.0909091,0.424242,0.000206874
0.121212,0.424242,0.000272909
0.151515,0.424242,0.000336473
0.181818,0.424242,0.000396989
0.212121,0.424242,0.00045391
0.242424,0.424242,0.00050672
0.272727,0.424242,0.000554942
0.30303,0.424242,0.000598138
0.333333,0.424242,0.000635917
0.363636,0.424242,0.000667937
0.393939,0.424242,0.000693908
0.424242,0.424242,0.000713595
0.454545,0.424242,0.000726819
0.484848,0.424242,0.000733462
0.515152,0.424242,0.000733462
0.545455,0.424242,0.000726819
0.575758,0.424242,0.000713595
0.606061,0.424242,0.000693908
0.636364,0.424242,0.000667937
0.666667,0.424242,0.000635917
0.69697,0.424242,0.000598138
0.727273,0.424242,0.000554942
0.757576,0.424242,0.00050672
0.787879,0.424242,0.00045391
0.818182,0.424242,0.000396989
0.848485,0.424242,0.000336473
0.878788,0.424242,0.000272909
0.909091,0.424242,0.000206874
0.939394,0.424242,0.000138966
0.969697,0.424242,6.9799e-05
0.030303,0.454545,7.10925e-05
0.0606061,0.454545,0.000141541
0.0909091,0.454545,0.000210708
0.121212,0.454545,0.000277967
0.151515,0.454545,0.000342708
0.181818,0.454545,0.000404346
0.212121,0.454545,0.000462322
0.242424,0.454545,0.000516111
0.272727,0.454545,0.000565226
0.30303,0.454545,0.000609222
0.333333,0.454545,0.000647702
0.363636,0.454545,0.000680315
0.393939,0.454545,0.000706767
0.424242,0.454545,0.000726819
0.454545,0.454545,0.000740289
0.484848,0.454545,0.000747054
0.515152,0.454545,0.000747054
0.545455,0.454545,0.000740289
0.575758,0.454545,0.000726819
0.606061,0.454545,0.000706767
0.636364,0.454545,0.000680315
0.666667,0.454545,0.000647702
0.69697,0.454545,0.000609222
0.727273,0.454545,0.000565226
0.757576,0.454545,0.000516111
0.787879,0.454545,0.000462322
0.818182,0.454545,0.000404346
0.848485,0.454545,0.000342708
0.878788,0.454545,0.000277967
0.909091,0.454545,0.000210708
0.939394,0.454545,0.000141541
0.969697,0.454545,7.10925e-05
0.030303,0.484848,7.17422e-05
0.0606061,0.484848,0.000142835
0.0909091,0.484848,0.000212634
0.121212,0.484848,0.000280507
0.151515,0.484848,0.00034584
0.181818,0.484848,0.000408041
0.212121,0.484848,0.000466547
0.242424,0.484848,0.000520828
0.272727,0.484848,0.000570392
0.30303,0.484848,0.00061479
0.333333,0.484848,0.000653621
0.363636,0.484848,0.000686532
0.393939,0.484848,0.000713226
0.424242,0.484848,0.000733462
0.454545,0.484848,0.000747054
0.484848,0.484848,0.000753881
0.515152,0.484848,0.000753881
0.545455,0.484848,0.000747054
0.575758,0.484848,0.000733462
0.606061,0.484848,0.000713226
0.636364,0.484848,0.000686532
0.666667,0.484848,0.000653621
0.69697,0.484848,0.00061479
0.727273,0.484848,0.000570392
0.757576,0.484848,0.000520828
0.787879,0.484848,0.000466547
0.818182,0.484848,0.000408041
0.848485,0.484848,0.00034584
0.878788,0.484848,0.000280507
0.909091,0.484848,0.000212634
