x,y,u_h
0.030303,0.030303,0.00904248
0.0606061,0.030303,0.0180031
0.0909091,0.030303,0.0268006
0.121212,0.030303,0.0353555
0.151515,0.030303,0.0435901
0.181818,0.030303,0.05143
0.212121,0.030303,0.0588041
0.242424,0.030303,0.0656457
0.272727,0.030303,0.0718928
0.30303,0.030303,0.0774889
0.333333,0.030303,0.0823831
0.363636,0.030303,0.0865314
0.393939,0.030303,0.0898959
0.424242,0.030303,0.0924464
0.454545,0.030303,0.0941596
0.484848,0.030303,0.0950201
0.515152,0.030303,0.0950201
0.545455,0.030303,0.0941596
0.575758,0.030303,0.0924464
0.606061,0.030303,0.0898959
0.636364,0.030303,0.0865314
0.666667,0.030303,0.0823831
0.69697,0.030303,0.0774889
0.727273,0.030303,0.0718928
0.757576,0.030303,0.0656457
0.787879,0.030303,0.0588041
0.818182,0.030303,0.05143
0.848485,0.030303,0.0435901
0.878788,0.030303,0.0353555
0.909091,0.030303,0.0268006
0.939394,0.030303,0.0180031
0.969697,0.030303,0.00904248
0.030303,0.0606061,0.0180031
0.0606061,0.0606061,0.0358431
0.0909091,0.0606061,0.0533585
0.121212,0.0606061,0.0703907
0.151515,0.0606061,0.0867855
0.181818,0.0606061,0.102394
0.212121,0.0606061,0.117076
0.242424,0.0606061,0.130697
0.272727,0.0606061,0.143135
0.30303,0.0606061,0.154276
0.333333,0.0606061,0.16402
0.363636,0.0606061,0.172279
0.393939,0.0606061,0.178978
0.424242,0.0606061,0.184056
0.454545,0.0606061,0.187466
0.484848,0.0606061,0.18918
0.515152,0.0606061,0.18918
0.545455,0.0606061,0.187466
0.575758,0.0606061,0.184056
0.606061,0.0606061,0.178978
0.636364,0.0606061,0.172279
0.666667,0.0606061,0.16402
0.69697,0.0606061,0.154276
0.727273,0.0606061,0.143135
0.757576,0.0606061,0.130697
0.787879,0.0606061,0.117076
0.818182,0.0606061,0.102394
0.848485,0.0606061,0.0867855
0.878788,0.0606061,0.0703907
0.909091,0.0606061,0.0533585
0.939394,0.0606061,0.0358431
0.969697,0.0606061,0.0180031
0.030303,0.0909091,0.0268006
0.0606061,0.0909091,0.0533585
0.0909091,0.0909091,0.0794332
0.121212,0.0909091,0.104789
0.151515,0.0909091,0.129195
0.181818,0.0909091,0.152431
0.212121,0.0909091,0.174287
0.242424,0.0909091,0.194565
0.272727,0.0909091,0.21308
0.30303,0.0909091,0.229666
0.333333,0.0909091,0.244172
0.363636,0.0909091,0.256467
0.393939,0.0909091,0.266439
0.424242,0.0909091,0.273998
0.454545,0.0909091,0.279076
0.484848,0.0909091,0.281626
0.515152,0.0909091,0.281626
0.545455,0.0909091,0.279076
0.575758,0.0909091,0.273998
0.606061,0.0909091,0.266439
0.636364,0.0909091,0.256467
0.666667,0.0909091,0.244172
0.69697,0.0909091,0.229666
0.727273,0.0909091,0.21308
0.757576,0.0909091,0.194565
0.787879,0.0909091,0.174287
0.818182,0.0909091,0.152431
0.848485,0.0909091,0.129195
0.878788,0.0909091,0.104789
0.909091,0.0909091,0.0794332
0.939394,0.0909091,0.0533585
0.969697,0.0909091,0.0268006
0.030303,0.121212,0.0353555
0.0606061,0.121212,0.0703907
0.0909091,0.121212,0.104789
0.121212,0.121212,0.138237
0.151515,0.121212,0.170434
0.181818,0.121212,0.201088
0.212121,0.121212,0.22992
0.242424,0.121212,0.25667
0.272727,0.121212,0.281096
0.30303,0.121212,0.302976
0.333333,0.121212,0.322112
0.363636,0.121212,0.338332
0.393939,0.121212,0.351487
0.424242,0.121212,0.361459
0.454545,0.121212,0.368157
0.484848,0.121212,0.371522
0.515152,0.121212,0.371522
0.545455,0.121212,0.368157
0.575758,0.121212,0.361459
0.606061,0.121212,0.351487
0.636364,0.121212,0.338332
0.666667,0.121212,0.322112
0.69697,0.121212,0.302976
0.727273,0.121212,0.281096
0.757576,0.121212,0.25667
0.787879,0.121212,0.22992
0.818182,0.121212,0.201088
0.848485,0.121212,0.170434
0.878788,0.121212,0.138237
0.909091,0.121212,0.104789
0.939394,0.121212,0.0703907
0.969697,0.121212,0.0353555
0.030303,0.151515,0.0435901
0.0606061,0.151515,0.0867855
0.0909091,0.151515,0.129195
0.121212,0.151515,0.170434
0.151515,0.151515,0.21013
0.181818,0.151515,0.247923
0.212121,0.151515,0.283471
0.242424,0.151515,0.316451
0.272727,0.151515,0.346566
0.30303,0.151515,0.373542
0.333333,0.151515,0.397136
0.363636,0.151515,0.417132
0.393939,0.151515,0.433352
0.424242,0.151515,0.445646
0.454545,0.151515,0.453905
0.484848,0.151515,0.458053
0.515152,0.151515,0.458053
0.545455,0.151515,0.453905
0.575758,0.151515,0.445646
0.606061,0.151515,0.433352
0.636364,0.151515,0.417132
0.666667,0.151515,0.397136
0.69697,0.151515,0.373542
0.727273,0.151515,0.346566
0.757576,0.151515,0.316451
0.787879,0.151515,0.283471
0.818182,0.151515,0.247923
0.848485,0.151515,0.21013
0.878788,0.151515,0.170434
0.909091,0.151515,0.129195
0.939394,0.151515,0.0867855
0.969697,0.151515,0.0435901
0.030303,0.181818,0.05143
0.0606061,0.181818,0.102394
0.0909091,0.181818,0.152431
0.121212,0.181818,0.201088
0.151515,0.181818,0.247923
0.181818,0.181818,0.292513
0.212121,0.181818,0.334455
0.242424,0.181818,0.373367
0.272727,0.181818,0.408898
0.30303,0.181818,0.440726
0.333333,0.181818,0.468562
0.363636,0.181818,0.492156
0.393939,0.181818,0.511292
0.424242,0.181818,0.525798
0.454545,0.181818,0.535542
0.484848,0.181818,0.540436
0.515152,0.181818,0.540436
0.545455,0.181818,0.535542
0.575758,0.181818,0.525798
0.606061,0.181818,0.511292
0.636364,0.181818,0.492156
0.666667,0.181818,0.468562
0.69697,0.181818,0.440726
0.727273,0.181818,0.408898
0.757576,0.181818,0.373367
0.787879,0.181818,0.334455
0.818182,0.181818,0.292513
0.848485,0.181818,0.247923
0.878788,0.181818,0.201088
0.909091,0.181818,0.152431
0.939394,0.181818,0.102394
0.969697,0.181818,0.05143
0.030303,0.212121,0.0588041
0.0606061,0.212121,0.117076
0.0909091,0.212121,0.174287
0.121212,0.212121,0.22992
0.151515,0.212121,0.283471
0.181818,0.212121,0.334455
0.212121,0.212121,0.382409
0.242424,0.212121,0.426901
0.272727,0.212121,0.467526
0.30303,0.212121,0.503918
0.333333,0.212121,0.535746
0.363636,0.212121,0.562722
0.393939,0.212121,0.584602
0.424242,0.212121,0.601188
0.454545,0.212121,0.612329
0.484848,0.212121,0.617925
0.515152,0.212121,0.617925
0.545455,0.212121,0.612329
0.575758,0.212121,0.601188
0.606061,0.212121,0.584602
0.636364,0.212121,0.562722
0.666667,0.212121,0.535746
0.69697,0.212121,0.503918
0.727273,0.212121,0.467526
0.757576,0.212121,0.426901
0.787879,0.212121,0.382409
0.818182,0.212121,0.334455
0.848485,0.212121,0.283471
0.878788,0.212121,0.22992
0.909091,0.212121,0.174287
0.939394,0.212121,0.117076
0.969697,0.212121,0.0588041
0.030303,0.242424,0.0656457
0.0606061,0.242424,0.130697
0.0909091,0.242424,0.194565
0.121212,0.242424,0.25667
0.151515,0.242424,0.316451
0.181818,0.242424,0.373367
0.212121,0.242424,0.426901
0.242424,0.242424,0.476569
0.272727,0.242424,0.521921
0.30303,0.242424,0.562547
0.333333,0.242424,0.598078
0.363636,0.242424,0.628192
0.393939,0.242424,0.652618
0.424242,0.242424,0.671133
0.454545,0.242424,0.683571
0.484848,0.242424,0.689818
0.515152,0.242424,0.689818
0.545455,0.242424,0.683571
0.575758,0.242424,0.671133
0.606061,0.242424,0.652618
0.636364,0.242424,0.628192
0.666667,0.242424,0.598078
0.69697,0.242424,0.562547
0.727273,0.242424,0.521921
0.757576,0.242424,0.476569
0.787879,0.242424,0.426901
0.818182,0.242424,0.373367
0.848485,0.242424,0.316451
0.878788,0.242424,0.25667
0.909091,0.242424,0.194565
0.939394,0.242424,0.130697
0.969697,0.242424,0.0656457
0.030303,0.272727,0.0718928
0.0606061,0.272727,0.143135
0.0909091,0.272727,0.21308
0.121212,0.272727,0.281096
0.151515,0.272727,0.346566
0.181818,0.272727,0.408898
0.212121,0.272727,0.467526
0.242424,0.272727,0.521921
0.272727,0.272727,0.571589
0.30303,0.272727,0.616081
0.333333,0.272727,0.654993
0.363636,0.272727,0.687973
0.393939,0.272727,0.714724
0.424242,0.272727,0.735001
0.454545,0.272727,0.748622
0.484848,0.272727,0.755464
0.515152,0.272727,0.755464
0.545455,0.272727,0.748622
0.575758,0.272727,0.735001
0.606061,0.272727,0.714724
0.636364,0.272727,0.687973
0.666667,0.272727,0.654993
0.69697,0.272727,0.616081
0.727273,0.272727,0.571589
0.757576,0.272727,0.521921
0.787879,0.272727,0.467526
0.818182,0.272727,0.408898
0.848485,0.272727,0.346566
0.878788,0.272727,0.281096
0.909091,0.272727,0.21308
0.939394,0.272727,0.143135
0.969697,0.272727,0.0718928
0.030303,0.30303,0.0774889
0.0606061,0.30303,0.154276
0.0909091,0.30303,0.229666
0.121212,0.30303,0.302976
0.151515,0.30303,0.373542
0.181818,0.30303,0.440726
0.212121,0.30303,0.503918
0.242424,0.30303,0.562547
0.272727,0.30303,0.616081
0.30303,0.30303,0.664035
0.333333,0.30303,0.705976
0.363636,0.30303,0.741524
0.393939,0.30303,0.770357
0.424242,0.30303,0.792212
0.454545,0.30303,0.806894
0.484848,0.30303,0.814268
0.515152,0.30303,0.814268
0.545455,0.30303,0.806894
0.575758,0.30303,0.792212
0.606061,0.30303,0.770357
0.636364,0.30303,0.741524
0.666667,0.30303,0.705976
0.69697,0.30303,0.664035
0.727273,0.30303,0.616081
0.757576,0.30303,0.562547
0.787879,0.30303,0.503918
0.818182,0.30303,0.440726
0.848485,0.30303,0.373542
0.878788,0.30303,0.302976
0.909091,0.30303,0.229666
0.939394,0.30303,0.154276
0.969697,0.30303,0.0774889
0.030303,0.333333,0.0823831
0.0606061,0.333333,0.16402
0.0909091,0.333333,0.244172
0.121212,0.333333,0.322112
0.151515,0.333333,0.397136
0.181818,0.333333,0.468562
0.212121,0.333333,0.535746
0.242424,0.333333,0.598078
0.272727,0.333333,0.654993
0.30303,0.333333,0.705976
0.333333,0.333333,0.750567
0.363636,0.333333,0.78836
0.393939,0.333333,0.819013
0.424242,0.333333,0.842249
0.454545,0.333333,0.857858
0.484848,0.333333,0.865698
0.515152,0.333333,0.865698
0.545455,0.333333,0.857858
0.575758,0.333333,0.842249
0.606061,0.333333,0.819013
0.636364,0.333333,0.78836
0.666667,0.333333,0.750567
0.69697,0.333333,0.705976
0.727273,0.333333,0.654993
0.757576,0.333333,0.598078
0.787879,0.333333,0.535746
0.818182,0.333333,0.468562
0.848485,0.333333,0.397136
0.878788,0.333333,0.322112
0.909091,0.333333,0.244172
0.939394,0.333333,0.16402
0.969697,0.333333,0.0823831
0.030303,0.363636,0.0865314
0.0606061,0.363636,0.172279
0.0909091,0.363636,0.256467
0.121212,0.363636,0.338332
0.151515,0.363636,0.417132
0.181818,0.363636,0.492156
0.212121,0.363636,0.562722
0.242424,0.363636,0.628192
0.272727,0.363636,0.687973
0.30303,0.363636,0.741524
0.333333,0.363636,0.78836
0.363636,0.363636,0.828056
0.393939,0.363636,0.860252
0.424242,0.363636,0.884659
0.454545,0.363636,0.901054
0.484848,0.363636,0.909288
0.515152,0.363636,0.909288
0.545455,0.363636,0.901054
0.575758,0.363636,0.884659
0.606061,0.363636,0.860252
0.636364,0.363636,0.828056
0.666667,0.363636,0.78836
0.69697,0.363636,0.741524
0.727273,0.363636,0.687973
0.757576,0.363636,0.628192
0.787879,0.363636,0.562722
0.818182,0.363636,0.492156
0.848485,0.363636,0.417132
0.878788,0.363636,0.338332
0.909091,0.363636,0.256467
0.939394,0.363636,0.172279
0.969697,0.363636,0.0865314
0.030303,0.393939,0.0898959
0.0606061,0.393939,0.178978
0.0909091,0.393939,0.266439
0.121212,0.393939,0.351487
0.151515,0.393939,0.433352
0.181818,0.393939,0.511292
0.212121,0.393939,0.584602
0.242424,0.393939,0.652618
0.272727,0.393939,0.714724
0.30303,0.393939,0.770357
0.333333,0.393939,0.819013
0.363636,0.393939,0.860252
0.393939,0.393939,0.893701
0.424242,0.393939,0.919057
0.454545,0.393939,0.936089
0.484848,0.393939,0.944644
0.515152,0.393939,0.944644
0.545455,0.393939,0.936089
0.575758,0.393939,0.919057
0.606061,0.393939,0.893701
0.636364,0.393939,0.860252
0.666667,0.393939,0.819013
0.69697,0.393939,0.770357
0.727273,0.393939,0.714724
0.757576,0.393939,0.652618
0.787879,0.393939,0.584602
0.818182,0.393939,0.511292
0.848485,0.393939,0.433352
0.878788,0.393939,0.351487
0.909091,0.393939,0.266439
0.939394,0.393939,0.178978
0.969697,0.393939,0.0898959
0.030303,0.424242,0.0924464
0.0606061,0.424242,0.184056
0.0909091,0.424242,0.273998
0.121212,0.424242,0.361459
0.151515,0.424242,0.445646
0.181818,0.424242,0.525798
0.212121,0.424242,0.601188
0.242424,0.424242,0.671133
0.272727,0.424242,0.735001
0.30303,0.424242,0.792212
0.333333,0.424242,0.842249
0.363636,0.424242,0.884659
0.393939,0.424242,0.919057
0.424242,0.424242,0.945131
0.454545,0.424242,0.962647
0.484848,0.424242,0.971444
0.515152,0.424242,0.971444
0.545455,0.424242,0.962647
0.575758,0.424242,0.945131
0.606061,0.424242,0.919057
0.636364,0.424242,0.884659
0.666667,0.424242,0.842249
0.69697,0.424242,0.792212
0.727273,0.424242,0.735001
0.757576,0.424242,0.671133
0.787879,0.424242,0.601188
0.818182,0.424242,0.525798
0.848485,0.424242,0.445646
0.878788,0.424242,0.361459
0.909091,0.424242,0.273998
0.939394,0.424242,0.184056
0.969697,0.424242,0.0924464
0.030303,0.454545,0.0941596
0.0606061,0.454545,0.187466
0.0909091,0.454545,0.279076
0.121212,0.454545,0.368157
0.151515,0.454545,0.453905
0.181818,0.454545,0.535542
0.212121,0.454545,0.612329
0.242424,0.454545,0.683571
0.272727,0.454545,0.748622
0.30303,0.454545,0.806894
0.333333,0.454545,0.857858
0.363636,0.454545,0.901054
0.393939,0.454545,0.936089
0.424242,0.454545,0.962647
0.454545,0.454545,0.980487
0.484848,0.454545,0.989447
0.515152,0.454545,0.989447
0.545455,0.454545,0.980487
0.575758,0.454545,0.962647
0.606061,0.454545,0.936089
0.636364,0.454545,0.901054
0.666667,0.454545,0.857858
0.69697,0.454545,0.806894
0.727273,0.454545,0.748622
0.757576,0.454545,0.683571
0.787879,0.454545,0.612329
0.818182,0.454545,0.535542
0.848485,0.454545,0.453905
0.878788,0.454545,0.368157
0.909091,0.454545,0.279076
0.939394,0.454545,0.187466
0.969697,0.454545,0.0941596
0.030303,0.484848,0.0950201
0.0606061,0.484848,0.18918
0.0909091,0.484848,0.281626
0.121212,0.484848,0.371522
0.151515,0.484848,0.458053
0.181818,0.484848,0.540436
0.212121,0.484848,0.617925
0.242424,0.484848,0.689818
0.272727,0.484848,0.755464
0.30303,0.484848,0.814268
0.333333,0.484848,0.865698
0.363636,0.484848,0.909288
0.393939,0.484848,0.944644
0.424242,0.484848,0.971444
0.454545,0.484848,0.989447
0.484848,0.484848,0.99849
0.515152,0.484848,0.99849
0.545455,0.484848,0.989447
0.575758,0.484848,0.971444
0.606061,0.484848,0.944644
0.636364,0.484848,0.909288
0.666667,0.484848,0.865698
0.69697,0.484848,0.814268
0.727273,0.484848,0.755464
0.757576,0.484848,0.689818
0.787879,0.484848,0.617925
0.818182,0.484848,0.540436
0.848485,0.484848,0.458053
0.878788,0.484848,0.371522
0.909091,0.484848,0.281626
